series_id,year,date,value,period_id,period_code,period_abbreviation,period_name,period_month,period_type,pct_change
CUUR0000SA0,2015,2015-11-01,237.336,M11,M11,NOV,November,11,monthly,0.005017975786678841
CUUR0000SA0,2015,2015-12-01,236.525,M12,M12,DEC,December,12,monthly,0.007295197860415881
CUUR0000SA0,2016,2016-01-01,236.916,M01,M01,JAN,January,1,monthly,0.013730868138309926
CUUR0000SA0,2016,2016-02-01,237.111,M02,M02,FEB,February,2,monthly,0.010177997801654737
CUUR0000SA0,2016,2016-03-01,238.132,M03,M03,MAR,March,3,monthly,0.008525362211427412
CUUR0000SA0,2016,2016-04-01,239.261,M04,M04,APR,April,4,monthly,0.011251104188944261
CUUR0000SA0,2016,2016-05-01,240.229,M05,M05,MAY,May,5,monthly,0.010193225541935691
CUUR0000SA0,2016,2016-06-01,241.018,M06,M06,JUN,June,6,monthly,0.009973264945230875
CUUR0000SA0,2016,2016-07-01,240.628,M07,M07,JUL,July,7,monthly,0.008271388704987004
CUUR0000SA0,2016,2016-08-01,240.849,M08,M08,AUG,August,8,monthly,0.010628745027610353
CUUR0000SA0,2016,2016-09-01,241.428,M09,M09,SEP,September,9,monthly,0.014637836474815646
CUUR0000SA0,2016,2016-10-01,241.729,M10,M10,OCT,October,10,monthly,0.016359875209176034
CUUR0000SA0,2016,2016-11-01,241.353,M11,M11,NOV,November,11,monthly,0.016925371625037933
CUUR0000SA0,2016,2016-12-01,241.432,M12,M12,DEC,December,12,monthly,0.02074622132966919
CUUR0000SA0,2017,2017-01-01,242.839,M01,M01,JAN,January,1,monthly,0.025000422090529995
CUUR0000SA0,2017,2017-02-01,243.603,M02,M02,FEB,February,2,monthly,0.027379581714893186
CUUR0000SA0,2017,2017-03-01,243.801,M03,M03,MAR,March,3,monthly,0.023806124334402767
CUUR0000SA0,2017,2017-04-01,244.524,M04,M04,APR,April,4,monthly,0.02199689878417299
CUUR0000SA0,2017,2017-05-01,244.733,M05,M05,MAY,May,5,monthly,0.018748777208413614
CUUR0000SA0,2017,2017-06-01,244.955,M06,M06,JUN,June,6,monthly,0.01633487955256463
CUUR0000SA0,2017,2017-07-01,244.786,M07,M07,JUL,July,7,monthly,0.01727978456372492
CUUR0000SA0,2017,2017-08-01,245.519,M08,M08,AUG,August,8,monthly,0.019389742120581754
CUUR0000SA0,2017,2017-09-01,246.819,M09,M09,SEP,September,9,monthly,0.022329638650032235
CUUR0000SA0,2017,2017-10-01,246.663,M10,M10,OCT,October,10,monthly,0.020411287019761692
CUUR0000SA0,2017,2017-11-01,246.669,M11,M11,NOV,November,11,monthly,0.02202582938683184
CUUR0000SA0,2017,2017-12-01,246.524,M12,M12,DEC,December,12,monthly,0.021090824745684245
CUUR0000SA0,2018,2018-01-01,247.867,M01,M01,JAN,January,1,monthly,0.020705076202751638
CUUR0000SA0,2018,2018-02-01,248.991,M02,M02,FEB,February,2,monthly,0.022117954212386604
CUUR0000SA0,2018,2018-03-01,249.554,M03,M03,MAR,March,3,monthly,0.023597114039729084
CUUR0000SA0,2018,2018-04-01,250.546,M04,M04,APR,April,4,monthly,0.02462743943334811
CUUR0000SA0,2018,2018-05-01,251.588,M05,M05,MAY,May,5,monthly,0.028010117148075553
CUUR0000SA0,2018,2018-06-01,251.989,M06,M06,JUN,June,6,monthly,0.0287154783531669
CUUR0000SA0,2018,2018-07-01,252.006,M07,M07,JUL,July,7,monthly,0.029495150866471143
CUUR0000SA0,2018,2018-08-01,252.146,M08,M08,AUG,August,8,monthly,0.026991801041874375
CUUR0000SA0,2018,2018-09-01,252.439,M09,M09,SEP,September,9,monthly,0.022769721941990007
CUUR0000SA0,2018,2018-10-01,252.885,M10,M10,OCT,October,10,monthly,0.025224699286070296
CUUR0000SA0,2018,2018-11-01,252.038,M11,M11,NOV,November,11,monthly,0.021766010321524032
CUUR0000SA0,2018,2018-12-01,251.233,M12,M12,DEC,December,12,monthly,0.019101588486313714
CUUR0000SA0,2019,2019-01-01,251.712,M01,M01,JAN,January,1,monthly,0.015512351381991252
CUUR0000SA0,2019,2019-02-01,252.776,M02,M02,FEB,February,2,monthly,0.01520135265933309
CUUR0000SA0,2019,2019-03-01,254.202,M03,M03,MAR,March,3,monthly,0.018625227405691724
